hydroxylammonium sulfate                     1374          lauric acid chloride                    1443
2-hydroxymethylfuran                         1352          lauroyl chloride                        1443
"2-hydroxy-1,2,3-propanetricaboxylicacid      1238          lauryl alcohol                          1444"
3-hydroxypropene                             1032          lead tetraethyl                         1673
2-hydroxypropionic acid                      1493          lead(II) acetate                        1133
hydroxysuccinic acid                         1093          lead arsenate                           1134
"2,2’-iminodiethanol                          1271          lead(II) carbonate                      1135"
iodine                                       1380          lead(II) chloride                       1137
iodine potassium iodide solution             1381          lead(II) hydrogenarsenate               1134
iodoform                                     1382          lead(II) nitrate                        1138
iron oxalate                                 1303          lead(II) sulfate                        1139
iron(II) chloride                            1296          light oil                               1448
iron(II) hydroxide                           1297          light petrol                            1447
"iron(II) nitrate                             1301          lighting gas, benzene-free              1451"
iron(II) sulfate                             1302          lignoceryl alcohol                      1698
iron(II)/(III) oxalate                       1303          lime                                    1175
iron(III) chloride                           1298          lime milk                               1182
iron(III) chloride sulfate                   1295          linoleic acid                           1453
iron(III) nitrate                            1299          linseed oil                             1450
iron(III) sulfate                            1300          liqueurs                                1452
isobutyl methyl ketone                       1488          liquid manure                           1379
isobutyltrimethyl methane                    1377          lithium bromide                         1455
isooctane                                    1377          lithium carbonate                       1456
isooctanol                                   1316          lithium chloride                        1457



w w w . S i m t e c h . c o m
11
                   Chemical            Number                        Chemical                     Number
lithium hydroxide                  1459          methyl alcohol                              1479
lithium sulfate                    1460          methylamine                                 1482
magnesium carbonate basic          1462          methylbenzene                               1679
magnesium chloride                 1463          4-methylbenzenesulfonic acid                1582
magnesium fluoride                 1464          methyl bromide                              1483
magnesium hydroxide                1465          4-(2-methyl-2-butyl)phenol                  1082
magnesium nitrate                  1466          methyl chloroacetate                        1502
magnesium oxide                    1467          methyl cyanide                              1020
magnesium sulfate                  1468          methylcyclohexane                           1485
magnesium sulfite                  1469          methylene chloride                          1266
maleic acid                        1470          methyl ethyl ketone (MEK)                   1328
malic acid                         1093          methyl isobutyl ketone (MIBK)               1488
malonic acid                       1478          methyl methacrylate                         1489
manganese dioxide                  1472          4-methyl-2-pentanone                        1488
"manganese(II) chloride             1471          methylphenol (o-, m-, a. p-)                1427"
manganese(II) sulfate              1473          methyl phenyl ether                         1087
manganese(IV) oxide                1472          methyl phenyl ketone                        1021
marmelade                          1474          (S)-(-)-1-methyl-2-(3-pyridyl)pyrrolidine   1554
mercaptoacetic acid                1676          methylsulfuric acid                         1480
mercury                            1612          milk                                        1492
mercury(II) chloride               1614          milk sugar                                  1439
mercury(II) cyanide                1615          mineral oils                                1494
mercury(II) nitrate                1616          mineral water                               1704
"methacrylic acid methyl ester      1489          mixed acid: H2SO4 18%, HNO3 15%, HF 5%      1499"
"methanal                           1340          mixed acid: H2SO4 25%, HNO3 25%, HF 10%     1506"
"methane                            1477          mixed acid: H2SO4 50%, HNO3 33%             1497"
"methanedicarboxylic acid           1478          mixed acid: H2SO4 50%, HNO3 50%             1498"
"methane sulfonic acid              1480          mixed acid: HCl 27%, HNO3 18%               1425"
"methanoic acid                     1047          mixed acid: HNO3 12%, HF 5%                 1723"
"methanol                           1479          mixed acid: HNO3 20%, H2SO4 10%             1495"
"4-methoxybenzaldehyde              1086          mixed acid: HNO3 20%, HF 5%                 1724"
"methoxybenzene                     1087          mixed acid: HNO3 50%, HF 10%                1500"
"2-methoxyethanol                   2260          mixed acid: HNO3 59%, HF 4,5%               1503"
"methyl acetate                     1481          mixed acid: HNO3 87%, H2SO4 10%             1496"
methyl Cellosolve                  2260          molasses                                    1476
methyl chloride                    1484          Monoamyl phthalate                          1599
methyl formate                     1487          monobytyl phthalate                         1600
methyl salicylate                  1490          monochloroacetic acid                       1211
methylacetic acid                  1608          monochloroacetic acid ethyl ester           1501



w w w . S i m t e c h . c o m
12
               Chemical                        Number                        Chemical         Number
monochloroacetic acid methyl ester              1502          oil of turpentine               1668
monochloro acetone                              1205          oleic acid                      1573
monochlorobenzene                               1208          oleum                           1570
monopentyl phthalate                            1599          oleum vapors                    1571
morphine                                        1504          olive oil                       1572
morpholine                                      1505          orthophosphoric acid            1574
mercury(II) sulfate                             1613          orthosilicic acid               1421
naphthalene                                     1507          oxalic acid                     1575
naphthalene sulfonic acid (mixture of iso-                    oxalic acid calcium salt        1185
mers)                                           1508          oxalic acid diammonium salt     1071
natural gas                                     1308          oxalic acid iron salts          1303
niacin                                          1555          oxirane                         1326
nickel(II) chloride                             1548          oxolane                         1674
nickel(II) nitrate                              1549          oxygen                          1625
nickel(II) sulfate                              1550          ozone                           1576
